time,double_support,RT_single_support,LT_single_support,Pelvis_A_X,Pelvis_A_Y,Pelvis_A_Z,Lower spine_A_X,Lower spine_A_Y,Lower spine_A_Z,Upper spine_A_X,Upper spine_A_Y,Upper spine_A_Z,Pelvis_Gyro_X,Pelvis_Gyro_Y,Pelvis_Gyro_Z,Lower spine_Gyro_X,Lower spine_Gyro_Y,Lower spine_Gyro_Z,Upper spine_Gyro_X,Upper spine_Gyro_Y,Upper spine_Gyro_Z
0.1,1,0,0,9.777919580078125,-0.106392336239483,0.9445125549071239,9.82580361328125,0.050315644261616305,-0.1349731185484045,9.16979235888877,0.08918401183836866,3.4715924077168947,-0.9614257813,0.5375976563,-0.04037475586,-0.3518066406,1.0703125,-0.06707763672,0.1961669922,1.267578125,-0.1427001953
0.105,1,0,0,9.753977563966895,-0.10265139620984501,0.9307458953980006,9.80186159717002,0.04548983154296875,-0.119784901765256,9.16979235888877,0.1010802013228665,3.4859576171875,-0.935546875,0.4145507813,-0.01558685303,-0.56640625,1.350585938,0.00270652771,0.2418212891,1.260742188,-0.1123657227
0.11,1,0,0,9.773131177248146,-0.08559270935303759,0.922964740014751,9.82580361328125,0.06890811652861395,-0.11566986775226751,9.145850341796875,0.11282675320421749,3.497928625243115,-1.024414063,0.3366699219,0.07678222656,-0.7333984375,1.225585938,-0.1942138672,0.09057617188,1.069335938,0.02716064453
0.115,1,0,0,9.758765966796876,-0.08065466842957825,0.9313444458498146,9.81622681154395,0.0729483318331922,-0.123974754731821,9.150638745607521,0.11065700796349151,3.497928625243115,-1.189453125,0.4658203125,0.09710693359,-1.224609375,1.142578125,-0.06573486328,-0.0005993843079,1.015625,0.07397460938
0.12,1,0,0,9.74918916015625,-0.0867149913815423,0.9205705383055615,9.80665,0.08357260169584516,-0.129660983631788,9.160215552248145,0.1062426986265295,3.495534423828125,-1.081054688,0.4274902344,-0.03189086914,-1.615234375,1.197265625,-0.09375,-0.01652526855,1.107421875,0.08117675781
0.125,1,0,0,9.76355437060752,-0.07646481552185315,0.9217676392091896,9.81622681154395,0.07451952667113745,-0.1019780270005875,9.160215552248145,0.1101332763671875,3.5098996342793947,-0.8383789063,0.5400390625,0.02153015137,-2.1015625,1.280273438,-0.2012939453,0.1292724609,0.9638671875,0.1270751953
0.13,1,0,0,9.753977563966895,-0.08297405128325774,0.910395181311189,9.792284790529395,0.05955576629761255,-0.09000701866057964,9.136273535156251,0.0960673416125437,3.50511123046875,-0.9345703125,0.3764648438,0.04623413086,-2.091796875,1.235351563,-0.04043579102,0.3420410156,1.09375,0.1099243164
0.135,1,0,0,9.74440075732627,-0.0775122787438811,0.912789382922312,9.792284790529395,0.06494272003051245,-0.11275193444677399,9.1554271484375,0.103175127806149,3.517082238524365,-0.9794921875,0.3603515625,0.06915283203,-1.83984375,1.331054688,-0.07769775391,0.5400390625,1.157226563,0.2075195313
0.14,1,0,0,9.76355437060752,-0.0906803878796438,0.909796630859375,9.78749638671875,0.06303484058793846,-0.104821141450571,9.160215552248145,0.1197100830078125,3.5194764409200197,-1.201171875,0.6264648438,-0.03494262695,-1.645507813,1.134765625,-0.30859375,0.5024414063,1.072265625,0.2313232422
0.145,1,0,0,9.76355437060752,-0.07766191634702796,0.9014169250243115,9.80186159717002,0.059742813299094456,-0.10392331577285001,9.1554271484375,0.10758943714311099,3.5218706423350103,-1.40625,0.5947265625,0.1632080078,-1.544921875,1.083007813,-0.01435852051,0.45703125,1.01171875,0.3005371094
